buis,"[1000.0, 145]"
urge,"[0.014714358313291938, 126]"
green,"[0.014691019934649139, 236]"
underway,"[0.014664283703933512, 51]"
income,"[0.014663028729235984, 60]"
communication,"[0.014639384450553712, 56]"
capability,"[0.01461918913668542, 118]"
resource,"[0.014613952110246358, 299]"
accurate,"[0.014552794824650925, 177]"
normal,"[0.014547836830950836, 124]"
consumption,"[0.014531362772489719, 58]"
equivalent,"[0.014527936659259687, 83]"
enormous,"[0.014525418140619716, 69]"
field,"[0.014521647735189458, 339]"
rapid,"[0.014519942737569978, 152]"
eastern,"[0.014490874697738961, 144]"
maria,"[0.014483307958356917, 66]"
economic,"[0.01448200410163297, 225]"
protect,"[0.014438410298229305, 262]"
inspire,"[0.014413681840113601, 65]"
citizen,"[0.014412027706104764, 59]"
coverage,"[0.014403130527595998, 139]"
select,"[0.014400137369205994, 71]"
clean,"[0.014373539567919938, 160]"
reliable,"[0.014356353380006709, 61]"
building,"[0.01434323530277545, 71]"
de,"[0.014313790784484227, 68]"
plane,"[0.014303324067973527, 91]"
integrate,"[0.014260135976353044, 97]"
boundary,"[0.014247233772373578, 52]"
author,"[0.014200512071147179, 252]"
solve,"[0.014155857461294361, 62]"
measure,"[0.01415088645624966, 692]"
sample,"[0.014135847746018764, 93]"
remote,"[0.014118582748160627, 208]"
sector,"[0.014095315069264057, 174]"
economy,"[0.01403711318422669, 190]"
implement,"[0.014033410700379445, 137]"
magnitude,"[0.014015545155439258, 51]"
importance,"[0.014014273824396033, 145]"
researchers,"[0.014013719047555552, 106]"
country,"[0.013984029766241744, 512]"
cap,"[0.013962018339926949, 62]"
explore,"[0.013946332620399161, 118]"
approximately,"[0.013935928717779846, 108]"
deputy,"[0.013928443900678145, 109]"
peak,"[0.01390376341684967, 110]"
massachusetts,"[0.013902403854205514, 51]"
practical,"[0.0138704680265417, 51]"
scale,"[0.01386045278520161, 375]"
2002,"[0.01385259253629742, 90]"
globe,"[0.01384124095060891, 230]"
mechanism,"[0.013835189182994343, 100]"
successfully,"[0.013832999815900702, 53]"
social,"[0.01382465621352652, 174]"
leadership,"[0.013803046390888465, 74]"
spell,"[0.013785077810450106, 54]"
frequent,"[0.013784114197265697, 97]"
sustain,"[0.013747790639276013, 104]"
blue,"[0.01373269676687883, 107]"
widespread,"[0.013731342831154058, 66]"
chief,"[0.013726484837388333, 293]"
strengthen,"[0.013724097648323559, 85]"
knowledge,"[0.013706748192926265, 153]"
input,"[0.013700760931290192, 58]"
boost,"[0.013680877350252944, 91]"
signal,"[0.013677375976370486, 142]"
stable,"[0.013656909632505217, 60]"
invest,"[0.013645065682915097, 82]"
vehicle,"[0.013640029409304871, 84]"
loss,"[0.01363604585943911, 318]"
2010,"[0.013628650092513, 180]"
unusual,"[0.013620960341054597, 60]"
collect,"[0.013613515943848487, 347]"
characterize,"[0.013610219408581689, 55]"
2015,"[0.01359191530340636, 279]"
activity,"[0.013585235003534268, 352]"
achieve,"[0.01357288063774368, 202]"
alan,"[0.013541713409218737, 147]"
precise,"[0.013530371023206577, 83]"
infrastructure,"[0.013529370122319485, 118]"
speed,"[0.013526633097195385, 174]"
stability,"[0.013524778722628267, 52]"
general,"[0.01352360283787557, 349]"
texas,"[0.013521639478618638, 71]"
progress,"[0.01352091332675187, 138]"
human,"[0.013520625179731818, 548]"
dramatic,"[0.01351941433017349, 82]"
structure,"[0.01349636595463516, 100]"
locate,"[0.013484334048454867, 109]"
rise,"[0.013451330502283521, 595]"
dynamic,"[0.013425590297117086, 108]"
facility,"[0.013415550350603484, 143]"
intense,"[0.013412190000077935, 117]"
platform,"[0.013407550004459251, 96]"
content,"[0.013398566163127117, 77]"
enhance,"[0.013344094649572622, 130]"
promote,"[0.013341398205959351, 106]"
century,"[0.013341269980787588, 287]"
surge,"[0.013325721679944013, 51]"
destroy,"[0.01331457879800001, 89]"
effective,"[0.01331163577548468, 95]"
july,"[0.013305895596252991, 157]"
january,"[0.013299760998071654, 143]"
tool,"[0.01329847796206807, 209]"
read,"[0.013293646689716545, 140]"
france,"[0.013286613101892783, 72]"
version,"[0.013285387761773976, 57]"
channel,"[0.01327730396858208, 59]"
finding,"[0.013277216838218926, 142]"
predict,"[0.013273627373814404, 263]"
nation,"[0.01327207731132336, 215]"
oil,"[0.013263914108199304, 76]"
enable,"[0.013237627497530892, 181]"
uncertainty,"[0.01322701162736188, 95]"
useful,"[0.013226913609466442, 103]"
stress,"[0.013210378548012046, 220]"
pressure,"[0.013189832042437642, 142]"
install,"[0.013188480999076565, 51]"
network,"[0.013182335983799686, 114]"
22,"[0.013160763007175303, 99]"
michael,"[0.013148208297012104, 102]"
protection,"[0.013146110507225006, 115]"
information,"[0.01314515929394039, 614]"
tackle,"[0.01310994437434434, 140]"
material,"[0.013090141559200208, 109]"
discovery,"[0.01308989257625945, 79]"
combination,"[0.013085784142911904, 95]"
natural,"[0.013084498342719318, 418]"
josh,"[0.01304435854551809, 58]"
2005,"[0.013007301231560384, 79]"
smith,"[0.013000948464111173, 56]"
trigger,"[0.012977798550971073, 57]"
highlight,"[0.012969244685657884, 201]"
traditional,"[0.01296536849979889, 70]"
complement,"[0.01296371858660252, 54]"
car,"[0.01296312157652414, 62]"
wake,"[0.012959203799952647, 55]"
discussion,"[0.012942581158086434, 83]"
expertise,"[0.012940222612664429, 52]"
access,"[0.012938848345471961, 175]"
moderate,"[0.012921291505642985, 111]"
medium,"[0.012911481722674631, 134]"
component,"[0.012896796451812248, 113]"
fraction,"[0.012892454395517316, 58]"
mount,"[0.01286508846364173, 71]"
summer,"[0.012858012747929918, 279]"
multi,"[0.012855165058595582, 122]"
capacity,"[0.012854489458399159, 117]"
east,"[0.01284598375007079, 217]"
participate,"[0.012842104402831659, 98]"
objective,"[0.012838450264714685, 88]"
emphasize,"[0.012831651303323345, 52]"
germany,"[0.012822054303957388, 71]"
population,"[0.012818197377090968, 218]"
encourage,"[0.012811061907981109, 102]"
relative,"[0.01280121853538181, 64]"
expert,"[0.012793114291353165, 133]"
young,"[0.012775622436430593, 124]"
technical,"[0.012770426078211236, 57]"
supply,"[0.012767942447943454, 160]"
2014,"[0.012763465063229349, 190]"
partnership,"[0.012759559503078268, 175]"
woman,"[0.012743714177367261, 101]"
